"group","condition","char_set","trial_type","trial_id","target_pronoun","target_id","target_image","target_name","target_file","distractor_pronoun","distractor_id","distractor_image","distractor_name","distractor_file","object_image","target_x","distractor_x","object_x","object_y2","object_y3","object_y4","sibling_image","sibling_pos","top_left","top_right","bottom_left","bottom_right","correct_description","audio"
"16","intro","4","example","intro_list4_example3","they","12","ST2","sam","ST2_they_sam.png","he","10","HT2","taylor","HT2_he_taylor.png","peach.png",525,275,725,150,100,50,"ST2_brother_sam.png","top right","HT2_brother_taylor.png","ST2_brother_sam.png","HT2_sister_taylor.png","ST2_sister_sam.png","Sam gave the peach to their brother.","example_sam-peach-their-brother.mp3"
"17","intro","5","example","intro_list5_example1","he","13","HT2","casey","HT2_he_casey.png","she","14","ST2","jaime","ST2_she_jaime.png","fork.png",275,525,175,250,300,350,"HT2_brother_casey.png","bottom left","HT2_sister_casey.png","ST2_brother_jaime.png","HT2_brother_casey.png","ST2_sister_jaime.png","Casey gave the fork to his brother.","example_casey-fork-his-brother.mp3"
"17","intro","5","example","intro_list5_example2","she","14","ST2","jaime","ST2_she_jaime.png","they","15","ST1","alex","ST1_they_alex.png","pepper.png",525,275,725,250,300,350,"ST2_sister_jaime.png","bottom right","ST1_brother_alex.png","ST2_brother_jaime.png","ST1_sister_alex.png","ST2_sister_jaime.png","Jaime gave the pepper to her sister.","example_jaime-pepper-her-sister.mp3"
"17","intro","5","example","intro_list5_example3","they","15","ST1","alex","ST1_they_alex.png","he","13","HT2","casey","HT2_he_casey.png","peach.png",525,275,725,150,100,50,"ST1_brother_alex.png","top right","HT2_brother_casey.png","ST1_brother_alex.png","HT2_sister_casey.png","ST1_sister_alex.png","Alex gave the peach to their brother.","example_alex-peach-their-brother.mp3"
"18","intro","6","example","intro_list6_example1","he","16","HT3","sam","HT3_he_sam.png","she","17","ST3","taylor","ST3_she_taylor.png","fork.png",275,525,175,250,300,350,"HT3_brother_sam.png","bottom left","HT3_sister_sam.png","ST3_brother_taylor.png","HT3_brother_sam.png","ST3_sister_taylor.png","Sam gave the fork to his brother.","example_sam-fork-his-brother.mp3"
"18","intro","6","example","intro_list6_example2","she","17","ST3","taylor","ST3_she_taylor.png","they","18","HT2","jordan","HT2_they_jordan.png","pepper.png",525,275,725,250,300,350,"ST3_sister_taylor.png","bottom right","HT2_brother_jordan.png","ST3_brother_taylor.png","HT2_sister_jordan.png","ST3_sister_taylor.png","Taylor gave the pepper to her sister.","example_taylor-pepper-her-sister.mp3"
"18","intro","6","example","intro_list6_example3","they","18","HT2","jordan","HT2_they_jordan.png","he","16","HT3","sam","HT3_he_sam.png","peach.png",525,275,725,150,100,50,"HT2_brother_jordan.png","top right","HT3_brother_sam.png","HT2_brother_jordan.png","HT3_sister_sam.png","HT2_sister_jordan.png","Jordan gave the peach to their brother.","example_jordan-peach-their-brother.mp3"
"19","neither","1","example","neither_list1_example1","he","1","HT1","alex","HT1_he_alex.png","she","2","ST1","sam","ST1_she_sam.png","fork.png",275,525,175,250,300,350,"HT1_brother_alex.png","bottom left","HT1_sister_alex.png","ST1_brother_sam.png","HT1_brother_alex.png","ST1_sister_sam.png","Alex gave the fork to his brother.","example_alex-fork-his-brother.mp3"
"19","neither","1","example","neither_list1_example2","she","2","ST1","sam","ST1_she_sam.png","they","3","HT3","taylor","HT3_they_taylor.png","pepper.png",525,275,725,250,300,350,"ST1_sister_sam.png","bottom right","HT3_brother_taylor.png","ST1_brother_sam.png","HT3_sister_taylor.png","ST1_sister_sam.png","Sam gave the pepper to her sister.","example_sam-pepper-her-sister.mp3"
"19","neither","1","example","neither_list1_example3","they","3","HT3","taylor","HT3_they_taylor.png","he","1","HT1","alex","HT1_he_alex.png","peach.png",525,275,725,150,100,50,"HT3_brother_taylor.png","top right","HT1_brother_alex.png","HT3_brother_taylor.png","HT1_sister_alex.png","HT3_sister_taylor.png","Taylor gave the peach to their brother.","example_taylor-peach-their-brother.mp3"
